1	Cc1cc(OCC2CC2)cc(C(=O)NNS(=O)(=O)c2ccccc2)c1F	CHEMBL4524297	QHJZPGLGYZVUIL-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1ccccc1)c1cc(F)cc(-c2ccccn2)c1	CHEMBL4528993	ZEVWSPTVXUZVPK-UHFFFAOYSA-N
1	Cc1cc(-n2cc(F)cn2)cc(C(=O)NNS(=O)(=O)c2ccccc2)c1F	CHEMBL4475866	AAJDCAXJINQPQE-UHFFFAOYSA-N
1	CCOc1cc(OC)cc(C(=O)NNS(=O)(=O)c2ccccc2F)c1	CHEMBL4585500	LMTBKXLCGOPLTE-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1F)c1cccc(-c2nnco2)c1	CHEMBL4539968	WMMOKLBODVCITB-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1F)c1ccccc1F	CHEMBL4440821	ZDIYVZHOBXJMNL-UHFFFAOYSA-N
1	COc1ccc(F)c(S(=O)(=O)NNC(=O)c2cc(F)cc(-n3cccn3)c2)c1	CHEMBL4472224	QSUACKFAWCFPJK-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1cccc(O)c1F)c1cc(F)cc(-c2ccccn2)c1	CHEMBL4564003	MNFYHCPIZGTVJZ-UHFFFAOYSA-N
1	CCOc1cccc(C(=O)NNS(=O)(=O)c2ccccc2)c1	CHEMBL4463902	CMRSRRDLKJCTEX-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1ccccc1)c1cc(-n2nccn2)ccc1F	CHEMBL4535983	LRNHSHONBKSSHT-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1)c1cccc(-c2cncnc2)c1	CHEMBL4473737	CQDRDWOHWFPNMN-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccc2ccccc2c1)c1ccc(O)cc1	CHEMBL4437747	LVIKGYITZHSWSM-UHFFFAOYSA-N
-1	COc1cc(C(=O)NNS(=O)(=O)c2ccccc2)cc(-n2cccn2)c1	CHEMBL4469704	IXELVFMBATXUAR-UHFFFAOYSA-N
1	CCOc1cc(C)c(F)c(C(=O)NNS(=O)(=O)c2ccccc2)c1	CHEMBL4443232	JKKRGQGRKITOSW-UHFFFAOYSA-N
1	COc1cc(C(=O)NNS(=O)(=O)c2ccccc2F)cc(-c2ncccn2)c1	CHEMBL4453559	NAZYKBWXMCHEDM-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccc2ccccc2c1)c1cccc(OC(F)(F)F)c1	CHEMBL4472625	GRFWYONCKHIYDB-UHFFFAOYSA-N
1	COc1cc(C(=O)NNS(=O)(=O)c2ccccc2)cc(-c2ncccn2)c1	CHEMBL4468749	GATMKLZRYGVSAK-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1)c1cccc(C(F)(F)F)c1	CHEMBL4564913	HUTBNEVDVSFEKB-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1)c1cccc(-c2ccc(F)cc2)c1	CHEMBL4445689	VTXTYDRUQLXWBL-UHFFFAOYSA-N
1	CCOc1ccc(F)c(C(=O)NNS(=O)(=O)c2ccccc2)c1	CHEMBL4465335	IVLJCGYQGILKLD-UHFFFAOYSA-N
1	Cc1cnn(-c2ccc(F)c(C(=O)NNS(=O)(=O)c3ccccc3)c2)c1	CHEMBL4463475	HHTCSKHUCWWNEW-UHFFFAOYSA-N
-1	COc1ccccc1C(=O)NNS(=O)(=O)c1ccc2ccccc2c1	CHEMBL4437854	YMEFSCJZZJISHE-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1ccccc1)c1cccc(-c2cccs2)c1	CHEMBL4538005	YLRKNBCBAVRUME-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccccc1)c1ccccc1F	CHEMBL4537591	LHGVJRHDSDIJCF-UHFFFAOYSA-N
1	CCOc1cccc(C(=O)NNS(=O)(=O)c2ccc3ccccc3c2)c1	CHEMBL4449967	DIWSGPCYWRYVLP-UHFFFAOYSA-N
1	Cc1cc(C)n(-c2cccc(C(=O)NNS(=O)(=O)c3ccccc3F)c2)n1	CHEMBL4437810	KXLOFNVLNYRBLP-UHFFFAOYSA-N
1	Cc1cc(C(=O)NNS(=O)(=O)c2ccccc2)cc(-n2cc(F)cn2)c1	CHEMBL4517852	BUWCYMMYTIFAKZ-UHFFFAOYSA-N
-1	Cc1cccc(S(=O)(=O)NNC(=O)c2ccccc2F)c1	CHEMBL4462783	DCFLBBKGYONYIV-UHFFFAOYSA-N
1	Cc1cc(C(=O)NNS(=O)(=O)c2ccccc2)cc(-c2ccco2)c1	CHEMBL4454131	SCVBDHFNRCHUFG-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1ccccc1F)c1cc(F)cc(-c2ccco2)c1	CHEMBL4565790	RWQOQMGTLWPYQB-UHFFFAOYSA-N
1	Cc1cc(-n2nccn2)cc(C(=O)NNS(=O)(=O)c2ccccc2)c1F	CHEMBL4461380	VOTAKFAKQLJZRE-UHFFFAOYSA-N
1	CC(C)COc1cccc(C(=O)NNS(=O)(=O)c2ccccc2)c1	CHEMBL4467591	UQPIIWMZDZWNBY-UHFFFAOYSA-N
-1	O=C(NNS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1O	CHEMBL4590234	UTNHIYRJHBGAAD-UHFFFAOYSA-N
1	CC(C)Oc1cc(F)cc(C(=O)NNS(=O)(=O)c2ccccc2F)c1	CHEMBL4537104	RNGKKKVQPWMBOG-UHFFFAOYSA-N
-1	COc1cccc(-c2cccc(C(=O)NNS(=O)(=O)c3ccccc3)c2)c1	CHEMBL4483508	JOCJDTYKWNMSHR-UHFFFAOYSA-N
1	O=C(NNS(=O)(=O)c1ccccc1)c1cc(F)cc(-c2ccco2)c1	CHEMBL4434925	FPYNCLRKRCOLLR-UHFFFAOYSA-N
